sweep,value,w_eff,w_eff_std
INFLUX_PEAK,0.1,-1.09238212222253,0.06802559539860682
INFLUX_PEAK,0.15000000000000002,-1.037467724237204,0.15325907790520485
INFLUX_PEAK,0.2,-1.0960359875232129,0.14975696215680884
INFLUX_PEAK,0.25,-1.1686047381011009,0.1231010909824492
INFLUX_PEAK,0.30000000000000004,-1.1980730340779668,0.11495711588293855
INFLUX_PEAK,0.35,-1.245051433651482,0.20965469384882449
INFLUX_PEAK,0.4,-1.1685184398560635,0.1719020427963919
INFLUX_PEAK,0.45000000000000007,-1.2777266185651108,0.16557501824075974
INFLUX_PEAK,0.5,-1.1464112125398642,0.16209469531580892
ENTROPY_K,1.0,-1.2057093803105063,0.13339011075237775
ENTROPY_K,1.625,-1.163398377919957,0.1602088431802723
ENTROPY_K,2.25,-1.1396158808105492,0.1216969571552842
ENTROPY_K,2.875,-1.145313287194756,0.14035401860448754
ENTROPY_K,3.5,-1.1895339605111508,0.12288613862626481
ENTROPY_K,4.125,-1.2074427924776363,0.14231186341737126
ENTROPY_K,4.75,-1.1582622217755831,0.07317635600562951
ENTROPY_K,5.375,-1.1086875892121475,0.08470706930434382
ENTROPY_K,6.0,-1.065306221301423,0.12763156815734233
COUPLING,0.0001,-1.0026640881432103,0.01667656475023058
COUPLING,0.00023713737056616554,-1.0265009785230554,0.043565443750343
COUPLING,0.0005623413251903491,-1.0320940520775468,0.08176674076750479
COUPLING,0.001333521432163324,-1.1441874452521736,0.07323670949698005
COUPLING,0.0031622776601683794,-1.1902059244703116,0.20910986933095937
COUPLING,0.007498942093324558,-1.2691472398203079,0.21354608688769264
COUPLING,0.01778279410038923,-1.081679659500673,0.0
COUPLING,0.042169650342858224,-1.5591583318122366,0.0
COUPLING,0.1,-1.406450652959796,0.0
BH_RADIUS,2.0,-1.1708797346926392,0.09789174403686299
BH_RADIUS,3.25,-1.337890637991224,0.14305525732890503
BH_RADIUS,4.5,-1.291730231675846,0.14379294527295744
BH_RADIUS,5.75,-1.1770606976678681,0.15905527781328627
BH_RADIUS,7.0,-1.1851078366441632,0.12746229742076873
BH_RADIUS,8.25,-1.2033712925551145,0.2604007878633292
BH_RADIUS,9.5,-1.0485879425301934,0.11766109169620254
BH_RADIUS,10.75,-1.0445471317946515,0.10750933532357068
BH_RADIUS,12.0,-1.0111768316003655,0.037250439490823156
DILUTION,2.5,-1.1043405505993886,0.13300784221073023
DILUTION,2.6875,-1.1319011307970677,0.12194842976254992
DILUTION,2.875,-1.0915713534225007,0.1270349656755893
DILUTION,3.0625,-1.1902708424246324,0.10320432257085642
DILUTION,3.25,-1.214282117531945,0.20090733718346623
DILUTION,3.4375,-1.091927494315721,0.09909705186004598
DILUTION,3.625,-1.1420631233665715,0.12265280005947349
DILUTION,3.8125,-1.1349631930431512,0.1407650887408211
DILUTION,4.0,-1.182749575616,0.13340744314156136
